ID,Country,area_km2
CR238192,Brazil,"2892"
CR238193,Brazil,"3059"
CR238194,Brazil,"3056"
CR238195,Brazil,"3053"
CR238196,Brazil,"3050"
CR238197,Brazil,"3046"
CR238198,Brazil,"3042"
CR238199,Brazil,"3038"
CR238200,Brazil,"3034"
CR238201,Brazil,"3029"
CR238202,Brazil,"3025"
CR238203,Brazil,"3020"
CR238204,Brazil,"3014"
CR238205,Brazil,"3009"
CR238206,Brazil,"3003"
CR238207,Brazil,"2997"
CR238208,Brazil,"166"
CR239170,Brazil,"511"
CR239171,Brazil,"1874"
CR239172,Brazil,"3069"
CR239173,Brazil,"3071"
CR239174,Brazil,"3072"
CR239175,Brazil,"3074"
CR239176,Brazil,"3075"
CR239177,Brazil,"3076"
CR239178,Brazil,"3077"
CR239179,Brazil,"3077"
CR239180,Brazil,"3077"
CR239181,Brazil,"3077"
CR239182,Brazil,"3077"
CR239183,Brazil,"3077"
CR239184,Brazil,"3076"
CR239185,Brazil,"2990"
CR239186,Brazil,"1537"
CR239187,Brazil,"2475"
CR239188,Brazil,"2815"
CR239189,Brazil,"3069"
CR239190,Brazil,"3067"
CR239191,Brazil,"2980"
CR239192,Brazil,"3062"
CR239193,Brazil,"3059"
CR239194,Brazil,"3056"
CR239195,Brazil,"3053"
CR239196,Brazil,"3050"
CR239197,Brazil,"3046"
CR239198,Brazil,"3042"
CR239199,Brazil,"3038"
CR239200,Brazil,"3034"
CR239201,Brazil,"3029"
CR239202,Brazil,"3025"
CR239203,Brazil,"3020"
CR239204,Brazil,"3014"
CR239205,Brazil,"3009"
CR239206,Brazil,"3003"
CR239207,Brazil,"2997"
CR239208,Brazil,"1164"
CR239211,Brazil,"83"
CR240170,Brazil,"1192"
CR240171,Brazil,"2811"
CR240172,Brazil,"3069"
CR240173,Brazil,"3071"
CR240174,Brazil,"3072"
CR240175,Brazil,"3074"
CR240176,Brazil,"3075"
CR240177,Brazil,"3076"
CR240178,Brazil,"3077"
CR240179,Brazil,"3077"
CR240180,Brazil,"3077"
CR240181,Brazil,"3077"
CR240182,Brazil,"3077"
CR240183,Brazil,"3077"
CR240184,Brazil,"3076"
CR240185,Brazil,"3075"
CR240186,Brazil,"2988"
CR240187,Brazil,"2134"
CR240188,Brazil,"2815"
CR240189,Brazil,"3069"
CR240190,Brazil,"2897"
CR240191,Brazil,"2980"
CR240192,Brazil,"3062"
CR240193,Brazil,"3059"
CR240194,Brazil,"3056"
CR240195,Brazil,"3053"
CR240196,Brazil,"3050"
CR240197,Brazil,"3046"
CR240198,Brazil,"3042"
CR240199,Brazil,"3038"
CR240200,Brazil,"3034"
CR240201,Brazil,"3029"
CR240202,Brazil,"3025"
CR240203,Brazil,"3020"
CR240204,Brazil,"3014"
CR240205,Brazil,"3009"
CR240206,Brazil,"3003"
CR240207,Brazil,"2997"
CR240208,Brazil,"2908"
CR240209,Brazil,"2571"
CR240210,Brazil,"1572"
CR240211,Brazil,"2229"
CR240212,Brazil,"1071"
CR240213,Brazil,"493"
CR241172,Brazil,"1790"
CR241173,Brazil,"2047"
CR241174,Brazil,"768"
CR241175,Brazil,"85"
CR241176,Brazil,"1110"
CR241177,Brazil,"2392"
CR241178,Brazil,"3077"
CR241179,Brazil,"3077"
CR241180,Brazil,"3077"
CR241181,Brazil,"3077"
CR241182,Brazil,"3077"
CR241183,Brazil,"3077"
CR241184,Brazil,"3076"
CR241185,Brazil,"3075"
CR241186,Brazil,"3074"
CR241187,Brazil,"2646"
CR241188,Brazil,"2986"
CR241189,Brazil,"2899"
CR241190,Brazil,"3067"
CR241191,Brazil,"3065"
CR241192,Brazil,"3062"
CR241193,Brazil,"3059"
CR241194,Brazil,"3056"
CR241195,Brazil,"3053"
CR241196,Brazil,"3050"
CR241197,Brazil,"3046"
CR241198,Brazil,"3042"
CR241199,Brazil,"3038"
CR241200,Brazil,"3034"
CR241201,Brazil,"3029"
CR241202,Brazil,"3025"
CR241203,Brazil,"3020"
CR241204,Brazil,"3014"
CR241205,Brazil,"3009"
CR241206,Brazil,"3003"
CR241207,Brazil,"2997"
CR241208,Brazil,"2991"
CR241209,Brazil,"2985"
CR241210,Brazil,"2978"
CR241211,Brazil,"2972"
CR241212,Brazil,"2965"
CR241213,Brazil,"1480"
CR242177,Brazil,"85"
CR242178,Brazil,"2564"
CR242179,Brazil,"3077"
CR242180,Brazil,"3077"
CR242181,Brazil,"3077"
CR242182,Brazil,"3077"
CR242183,Brazil,"3077"
CR242184,Brazil,"3076"
CR242185,Brazil,"3075"
CR242186,Brazil,"3074"
CR242187,Brazil,"2646"
CR242188,Brazil,"2644"
CR242189,Brazil,"2813"
CR242190,Brazil,"3067"
CR242191,Brazil,"3065"
CR242192,Brazil,"3062"
CR242193,Brazil,"3059"
CR242194,Brazil,"3056"
CR242195,Brazil,"3053"
CR242196,Brazil,"3050"
CR242197,Brazil,"3046"
CR242198,Brazil,"3042"
CR242199,Brazil,"3038"
CR242200,Brazil,"3034"
CR242201,Brazil,"3029"
CR242202,Brazil,"3025"
CR242203,Brazil,"3020"
CR242204,Brazil,"3014"
CR242205,Brazil,"3009"
CR242206,Brazil,"3003"
CR242207,Brazil,"2997"
CR242208,Brazil,"2991"
CR242209,Brazil,"2985"
CR242210,Brazil,"2978"
CR242211,Brazil,"2972"
CR242212,Brazil,"2965"
CR242213,Brazil,"1644"
CR243178,Brazil,"1538"
CR243179,Brazil,"3077"
CR243180,Brazil,"3077"
CR243181,Brazil,"3077"
CR243182,Brazil,"3077"
CR243183,Brazil,"3077"
CR243184,Brazil,"3076"
CR243185,Brazil,"3075"
CR243186,Brazil,"3074"
CR243187,Brazil,"2646"
CR243188,Brazil,"2815"
CR243189,Brazil,"2898"
CR243190,Brazil,"3067"
CR243191,Brazil,"3065"
CR243192,Brazil,"3062"
CR243193,Brazil,"3059"
CR243194,Brazil,"3056"
CR243195,Brazil,"3053"
CR243196,Brazil,"3050"
CR243197,Brazil,"3046"
CR243198,Brazil,"3042"
CR243199,Brazil,"3038"
CR243200,Brazil,"3034"
CR243201,Brazil,"3029"
CR243202,Brazil,"3025"
CR243203,Brazil,"3020"
CR243204,Brazil,"3014"
CR243205,Brazil,"3009"
CR243206,Brazil,"3003"
CR243207,Brazil,"2997"
CR243208,Brazil,"2991"
CR243209,Brazil,"2985"
CR243210,Brazil,"2978"
CR243211,Brazil,"2972"
CR243212,Brazil,"2965"
CR243213,Brazil,"1972"
CR244177,Brazil,"256"
CR244178,Brazil,"3077"
CR244179,Brazil,"3077"
CR244180,Brazil,"3077"
CR244181,Brazil,"3077"
CR244182,Brazil,"3077"
CR244183,Brazil,"3077"
CR244184,Brazil,"3076"
CR244185,Brazil,"3075"
CR244186,Brazil,"2391"
CR244187,Brazil,"2560"
CR244188,Brazil,"3071"
CR244189,Brazil,"3069"
CR244190,Brazil,"3067"
CR244191,Brazil,"3065"
CR244192,Brazil,"3062"
CR244193,Brazil,"2974"
CR244194,Brazil,"2802"
CR244195,Brazil,"2968"
CR244196,Brazil,"3050"
CR244197,Brazil,"3046"
CR244198,Brazil,"3042"
CR244199,Brazil,"3038"
CR244200,Brazil,"3034"
CR244201,Brazil,"3029"
CR244202,Brazil,"3025"
CR244203,Brazil,"3020"
CR244204,Brazil,"3014"
CR244205,Brazil,"3009"
CR244206,Brazil,"3003"
CR244207,Brazil,"2997"
CR244208,Brazil,"2991"
CR244209,Brazil,"2985"
CR244210,Brazil,"2978"
CR244211,Brazil,"2972"
CR244212,Brazil,"2965"
CR244213,Brazil,"2547"
CR244214,Brazil,"2622"
CR244215,Brazil,"1717"
CR244220,Brazil,"242"
CR244221,Brazil,"402"
CR245177,Brazil,"1111"
CR245178,Brazil,"3077"
CR245179,Brazil,"3077"
CR245180,Brazil,"3077"
CR245181,Brazil,"3077"
CR245182,Brazil,"3077"
CR245183,Brazil,"3077"
CR245184,Brazil,"3076"
CR245185,Brazil,"2904"
CR245186,Brazil,"2647"
CR245187,Brazil,"2987"
CR245188,Brazil,"2730"
CR245189,Brazil,"3069"
CR245190,Brazil,"3067"
CR245191,Brazil,"3065"
CR245192,Brazil,"3062"
CR245193,Brazil,"2889"
CR245194,Brazil,"3056"
CR245195,Brazil,"3053"
CR245196,Brazil,"3050"
CR245197,Brazil,"3046"
CR245198,Brazil,"3042"
CR245199,Brazil,"3038"
CR245200,Brazil,"3034"
CR245201,Brazil,"3029"
CR245202,Brazil,"3025"
CR245203,Brazil,"3020"
CR245204,Brazil,"3014"
CR245205,Brazil,"3009"
CR245206,Brazil,"3003"
CR245207,Brazil,"2997"
CR245208,Brazil,"2991"
CR245209,Brazil,"2985"
CR245210,Brazil,"2978"
CR245211,Brazil,"2972"
CR245212,Brazil,"2965"
CR245213,Brazil,"2957"
CR245214,Brazil,"2950"
CR245215,Brazil,"2942"
CR245216,Brazil,"1223"
CR245217,Brazil,"406"
CR245218,Brazil,"1297"
CR245219,Brazil,"2182"
CR245220,Brazil,"2740"
CR245221,Brazil,"2892"
CR245222,Brazil,"2562"
CR245223,Brazil,"2155"
CR245224,Brazil,"2466"
CR245225,Brazil,"714"
CR245241,Brazil,"74"
CR246177,Brazil,"2734"
CR246178,Brazil,"3077"
CR246179,Brazil,"3077"
CR246180,Brazil,"3077"
CR246181,Brazil,"3077"
CR246182,Brazil,"3077"
CR246183,Brazil,"3077"
CR246184,Brazil,"3076"
CR246185,Brazil,"2990"
CR246186,Brazil,"2476"
CR246187,Brazil,"2902"
CR246188,Brazil,"2986"
CR246189,Brazil,"3069"
CR246190,Brazil,"3067"
CR246191,Brazil,"2980"
CR246192,Brazil,"2977"
CR246193,Brazil,"3059"
CR246194,Brazil,"3056"
CR246195,Brazil,"3053"
CR246196,Brazil,"3050"
CR246197,Brazil,"3046"
CR246198,Brazil,"3042"
CR246199,Brazil,"3038"
CR246200,Brazil,"3034"
CR246201,Brazil,"3029"
CR246202,Brazil,"3025"
CR246203,Brazil,"3020"
CR246204,Brazil,"3014"
CR246205,Brazil,"3009"
CR246206,Brazil,"3003"
CR246207,Brazil,"2997"
