"ID","L","NL"
"CR240201",0,0.71
"CR240202",0,0.71
"CR240203",0,0.71
"CR240204",0,0.71
"CR240205",0,0.71
"CR240206",0,0.71
"CR240207",0,0.71
"CR240208",0,0.71
"CR240209",0,0.71
"CR240210",0,0.71
"CR240211",0,0.71
"CR240212",0,0.71
"CR240213",0,0.71
"CR241172",0,0.71
"CR241173",0,0.71
"CR241174",0,0.71
"CR241175",0,0.71
"CR241176",0,0.71
"CR241177",0,0.71
"CR241178",0,0.71
"CR241179",0,0.71
"CR241180",0,0.71
"CR241181",0,0.71
"CR241182",0,0.71
"CR241183",0,0.71
"CR241184",0,0.71
"CR241185",0,0.71
"CR241186",0,0.71
"CR241187",0,0.71
"CR241188",0,0.71
"CR241189",0,0.71
"CR241190",0,0.71
"CR241191",0,0.71
"CR241192",0,0.71
"CR241193",0,0.71
"CR241194",0,0.71
"CR241195",0,0.71
"CR241196",0,0.71
"CR241197",0,0.71
"CR241198",0,0.71
"CR241199",0,0.71
"CR241200",0,0.71
"CR241201",0,0.71
"CR241202",0,0.71
"CR241203",0,0.71
"CR241204",0,0.71
"CR241205",0,0.7375
"CR241206",0,0.7375
"CR241207",0,0.71
"CR241208",0,0.7375
"CR241209",0,0.71
"CR241210",0,0.71
"CR241211",0,0.71
"CR241212",0,0.71
"CR241213",0,0.71
"CR242177",0,0.71
"CR242178",0,0.71
"CR242179",0,0.71
"CR242180",0,0.71
"CR242181",0,0.71
"CR242182",0,0.71
"CR242183",0,0.71
"CR242184",0,0.71
"CR242185",0,0.71
"CR242186",0,0.71
"CR242187",0,0.71
"CR242188",0,0.71
"CR242189",0,0.71
"CR242190",0,0.71
"CR242191",0,0.71
"CR242192",0,0.71
"CR242193",0,0.71
"CR242194",0,0.71
"CR242195",0,0.71
"CR242196",0,0.71
"CR242197",0,0.71
"CR242198",0,0.71
"CR242199",0,0.71
"CR242200",0,0.71
"CR242201",0,0.71
"CR242202",0,0.71
"CR242203",0,0.71
"CR242204",0,0.71
"CR242205",0,0.7375
"CR242206",0,0.7375
"CR242207",0,0.7375
"CR242208",0,0.7375
"CR242209",0,0.7375
"CR242210",0,0.7375
"CR242211",0,0.71
"CR242212",0,0.71
"CR242213",0,0.71
"CR243178",0,0.71
"CR243179",0,0.71
"CR243180",0,0.71
"CR243181",0,0.71
"CR243182",0,0.71
"CR243183",0,0.71
"CR243184",0,0.71
"CR243185",0,0.71
"CR243186",0,0.71
"CR243187",0,0.71
"CR243188",0,0.71
"CR243189",0,0.71
"CR243190",0,0.71
"CR243191",0,0.71
"CR243192",0,0.71
"CR243193",0,0.71
"CR243194",0,0.71
"CR243195",0,0.71
"CR243196",0,0.71
"CR243197",0,0.71
"CR243198",0,0.71
"CR243199",0,0.71
"CR243200",0,0.71
"CR243201",0,0.71
"CR243202",0,0.71
"CR243203",0,0.71
"CR243204",0,0.71
"CR243205",0,0.7375
"CR243206",0,0.7375
"CR243207",0,0.7375
"CR243208",0,0.7375
"CR243209",0,0.7375
"CR243210",0,0.7375
"CR243211",0,0.71
"CR243212",0,0.71
