"ID","Year","soyarea"
"CR224181","X2005",0
"CR224181","X2010",0
"CR224181","X2012",0
"CR224182","X2005",0
"CR224182","X2010",0
"CR224182","X2012",0
"CR224183","X2005",0
"CR224183","X2010",0
"CR224183","X2012",0
"CR224184","X2005",0
"CR224184","X2010",0
"CR224184","X2012",0
"CR224185","X2005",0
"CR224185","X2010",0
"CR224185","X2012",0
"CR224186","X2005",0
"CR224186","X2010",0
"CR224186","X2012",0
"CR224187","X2005",0
"CR224187","X2010",0
"CR224187","X2012",0
"CR224188","X2005",0
"CR224188","X2010",0
"CR224188","X2012",0
"CR224189","X2005",0
"CR224189","X2010",0
"CR224189","X2012",0
"CR224190","X2005",0
"CR224190","X2010",0
"CR224190","X2012",0
"CR224191","X2005",0
"CR224191","X2010",0
"CR224191","X2012",0
"CR224192","X2005",0
"CR224192","X2010",0
"CR224192","X2012",0
"CR224193","X2005",0
"CR224193","X2010",0
"CR224193","X2012",0
"CR224194","X2005",0
"CR224194","X2010",0
"CR224194","X2012",0
"CR224195","X2005",0
"CR224195","X2010",0
"CR224195","X2012",0
"CR224196","X2005",0
"CR224196","X2010",0
"CR224196","X2012",0
"CR224197","X2005",0
"CR224197","X2010",0
"CR224197","X2012",0
"CR224198","X2005",0
"CR224198","X2010",0
"CR224198","X2012",0
"CR224199","X2005",1.09528064727783
"CR224199","X2010",2.14380359649658
"CR224199","X2012",0
"CR224200","X2005",8.99056148529053
"CR224200","X2010",16.2118186950684
"CR224200","X2012",0
"CR224201","X2005",1.48980045318604
"CR224201","X2010",2.86415147781372
"CR224201","X2012",0
"CR224202","X2005",0.0337425693869591
"CR224202","X2010",0.0607724711298943
"CR224202","X2012",0
"CR225176","X2005",0
"CR225176","X2010",0
"CR225176","X2012",0
"CR225177","X2005",0
"CR225177","X2010",0
"CR225177","X2012",0
"CR225178","X2005",0
"CR225178","X2010",0
"CR225178","X2012",0
"CR225179","X2005",0
"CR225179","X2010",0
"CR225179","X2012",0
"CR225180","X2005",0
"CR225180","X2010",0
"CR225180","X2012",0
"CR225181","X2005",0
"CR225181","X2010",0
"CR225181","X2012",0
"CR225182","X2005",0
"CR225182","X2010",0
"CR225182","X2012",0
"CR225183","X2005",0
"CR225183","X2010",0
"CR225183","X2012",0
"CR225184","X2005",0
"CR225184","X2010",0
"CR225184","X2012",0
"CR225185","X2005",0
"CR225185","X2010",0
"CR225185","X2012",0
"CR225186","X2005",0
"CR225186","X2010",0
"CR225186","X2012",0
"CR225187","X2005",0
"CR225187","X2010",0
"CR225187","X2012",0
"CR225188","X2005",0
"CR225188","X2010",0
"CR225188","X2012",0
"CR225189","X2005",0
"CR225189","X2010",0
"CR225189","X2012",0
"CR225190","X2005",0
"CR225190","X2010",0
"CR225190","X2012",0
"CR225191","X2005",0
"CR225191","X2010",0
"CR225191","X2012",0
"CR225192","X2005",0
"CR225192","X2010",0
"CR225192","X2012",3.29369549945113e-06
"CR225193","X2005",0
"CR225193","X2010",0
"CR225193","X2012",0.00122197845485061
"CR225194","X2005",0
"CR225194","X2010",0
"CR225194","X2012",7.2688117143116e-06
"CR225195","X2005",0
"CR225195","X2010",0
"CR225195","X2012",0
"CR225196","X2005",0
"CR225196","X2010",0
"CR225196","X2012",0
"CR225197","X2005",0
"CR225197","X2010",0
"CR225197","X2012",0
"CR225198","X2005",0
"CR225198","X2010",0
"CR225198","X2012",0
"CR225199","X2005",0.84586763381958
"CR225199","X2010",1.95061588287354
"CR225199","X2012",0
"CR225200","X2005",10.4231386184692
"CR225200","X2010",17.858585357666
"CR225200","X2012",0
"CR225201","X2005",11.424654006958
"CR225201","X2010",20.031946182251
"CR225201","X2012",0
"CR225202","X2005",2.36872148513794
"CR225202","X2010",4.17582035064697
"CR225202","X2012",0
"CR226176","X2005",0
"CR226176","X2010",0
"CR226176","X2012",0
"CR226177","X2005",0
"CR226177","X2010",0
"CR226177","X2012",0
"CR226178","X2005",0
"CR226178","X2010",0
"CR226178","X2012",0
"CR226179","X2005",0
"CR226179","X2010",0
"CR226179","X2012",0
"CR226180","X2005",0
"CR226180","X2010",0
"CR226180","X2012",0
"CR226181","X2005",0
"CR226181","X2010",0
"CR226181","X2012",0
"CR226182","X2005",0
"CR226182","X2010",0
"CR226182","X2012",0
"CR226183","X2005",0
