"","ID","Scenario","npvfb","agb_hist","lp_hist","land_prices","carbon_prices","crv","crv_cp"
"509","CR255221","IDC3NoFC",305.925586085853,100.0742868677,870.114353108115,870.114353108115,100.0742868677,305.925586085853,405.999872953553
"510","CR255221","IDC3ZD",306.209987034825,100.0742868677,870.114353108115,870.114353108115,100.0742868677,306.209987034825,406.284273902525
"511","CR255224","IDC3",59.1627620976056,136.344094914537,1020.06405996041,1020.06405996041,136.344094914537,59.1627620976056,195.506857012143
"512","CR255224","IDC3NoFC",59.1627620976056,136.344094914537,1020.06405996041,1020.06405996041,136.344094914537,59.1627620976056,195.506857012143
"513","CR255224","IDC3ZD",59.1627620976056,136.344094914537,1020.06405996041,1020.06405996041,136.344094914537,59.1627620976056,195.506857012143
"514","CR256201","IDC3",344.241175325595,507.924344402002,263.209591815205,263.209591815205,507.924344402002,344.241175325595,852.165519727597
"515","CR256201","IDC3NoFC",342.661695172803,507.924344402002,263.209591815205,263.209591815205,507.924344402002,342.661695172803,850.586039574805
"516","CR256201","IDC3ZD",341.91743779621,507.924344402002,263.209591815205,263.209591815205,507.924344402002,341.91743779621,849.841782198212
"517","CR256202","IDC3",525.735275019409,390.358672959171,263.209591815205,263.209591815205,390.358672959171,525.735275019409,916.09394797858
"518","CR256202","IDC3NoFC",525.737892530428,390.358672959171,263.209591815205,263.209591815205,390.358672959171,525.737892530428,916.096565489599
"519","CR256202","IDC3ZD",521.196951133377,390.358672959171,263.209591815205,263.209591815205,390.358672959171,521.196951133377,911.555624092548
"520","CR256203","IDC3",457.812164157058,585.425278553811,263.209591815205,263.209591815205,585.425278553811,457.812164157058,1043.23744271087
"521","CR256203","IDC3NoFC",461.057048602695,585.425278553811,263.209591815205,263.209591815205,585.425278553811,461.057048602695,1046.48232715651
"522","CR256203","IDC3ZD",457.823914076606,585.425278553811,263.209591815205,263.209591815205,585.425278553811,457.823914076606,1043.24919263042
"523","CR256204","IDC3",403.994032154366,642.370915412974,263.209591815205,263.209591815205,642.370915412974,403.994032154366,1046.36494756734
"524","CR256204","IDC3NoFC",413.787313159948,642.370915412974,263.209591815205,263.209591815205,642.370915412974,413.787313159948,1056.15822857292
"525","CR256204","IDC3ZD",402.054889811197,642.370915412974,263.209591815205,263.209591815205,642.370915412974,402.054889811197,1044.42580522417
"526","CR256205","IDC3",861.480250557932,541.017680530025,315.851510178246,315.851510178246,541.017680530025,861.480250557932,1402.49793108796
"527","CR256205","IDC3NoFC",860.311533374693,541.017680530025,315.851510178246,315.851510178246,541.017680530025,860.311533374693,1401.32921390472
"528","CR256205","IDC3ZD",862.939927144068,541.017680530025,315.851510178246,315.851510178246,541.017680530025,862.939927144068,1403.95760767409
"529","CR256206","IDC3",255.954792842393,416.349129297844,315.851510178246,315.851510178246,416.349129297844,255.954792842393,672.303922140237
"530","CR256206","IDC3NoFC",257.87123775453,416.349129297844,315.851510178246,315.851510178246,416.349129297844,257.87123775453,674.220367052374
"531","CR256206","IDC3ZD",256.120710591136,416.349129297844,315.851510178246,315.851510178246,416.349129297844,256.120710591136,672.46983988898
"532","CR256207","IDC3",353.289795527733,203.759421909337,315.851510178246,315.851510178246,203.759421909337,353.289795527733,557.04921743707
"533","CR256207","IDC3NoFC",353.289795527733,203.759421909337,315.851510178246,315.851510178246,203.759421909337,353.289795527733,557.04921743707
"534","CR256207","IDC3ZD",353.289795527733,203.759421909337,315.851510178246,315.851510178246,203.759421909337,353.289795527733,557.04921743707
"535","CR256208","IDC3",103.922826411612,49.1054643898061,315.851510178246,315.851510178246,49.1054643898061,103.922826411612,153.028290801418
"536","CR256208","IDC3NoFC",103.922826411612,49.1054643898061,315.851510178246,315.851510178246,49.1054643898061,103.922826411612,153.028290801418
"537","CR256208","IDC3ZD",103.922826411612,49.1054643898061,315.851510178246,315.851510178246,49.1054643898061,103.922826411612,153.028290801418
"538","CR256209","IDC3",140.684672802741,144.881890844828,315.851510178246,315.851510178246,144.881890844828,140.684672802741,285.566563647569
"539","CR256209","IDC3NoFC",140.684672802741,144.881890844828,315.851510178246,315.851510178246,144.881890844828,140.684672802741,285.566563647569
"540","CR256209","IDC3ZD",139.502649185477,144.881890844828,315.851510178246,315.851510178246,144.881890844828,139.502649185477,284.384540030305
"541","CR256210","IDC3",126.503254867136,159.628089694503,315.851510178246,315.851510178246,159.628089694503,126.503254867136,286.131344561639
"542","CR256210","IDC3NoFC",126.503254867136,159.628089694503,315.851510178246,315.851510178246,159.628089694503,126.503254867136,286.131344561639
"543","CR256210","IDC3ZD",126.503254867136,159.628089694503,315.851510178246,315.851510178246,159.628089694503,126.503254867136,286.131344561639
"544","CR256215","IDC3",995.871561934292,66.8131494442855,740.757352612708,740.757352612708,66.8131494442855,995.871561934292,1062.68471137858
"545","CR256215","IDC3NoFC",995.871561934292,66.8131494442855,740.757352612708,740.757352612708,66.8131494442855,995.871561934292,1062.68471137858
"546","CR256215","IDC3ZD",995.871561934292,66.8131494442855,740.757352612708,740.757352612708,66.8131494442855,995.871561934292,1062.68471137858
"547","CR256216","IDC3",1269.61321356684,74.7692174586144,870.114353108115,870.114353108115,74.7692174586144,1269.61321356684,1344.38243102545
"548","CR256216","IDC3NoFC",1269.61321356684,74.7692174586144,870.114353108115,870.114353108115,74.7692174586144,1269.61321356684,1344.38243102545
"549","CR256216","IDC3ZD",1269.61321356684,74.7692174586144,870.114353108115,870.114353108115,74.7692174586144,1269.61321356684,1344.38243102545
"550","CR256217","IDC3",422.992548536709,49.1173982073139,870.114353108115,870.114353108115,49.1173982073139,422.992548536709,472.109946744023
"551","CR256217","IDC3NoFC",410.579113629313,49.1173982073139,870.114353108115,870.114353108115,49.1173982073139,410.579113629313,459.696511836627
"552","CR256217","IDC3ZD",433.890641478101,49.1173982073139,870.114353108115,870.114353108115,49.1173982073139,433.890641478101,483.008039685415
"553","CR257202","IDC3",581.278486214867,158.697742690203,263.209591815205,263.209591815205,158.697742690203,581.278486214867,739.97622890507
"554","CR257202","IDC3NoFC",582.391029742348,158.697742690203,263.209591815205,263.209591815205,158.697742690203,582.391029742348,741.088772432551
"555","CR257202","IDC3ZD",578.519814079595,158.697742690203,263.209591815205,263.209591815205,158.697742690203,578.519814079595,737.217556769798
"556","CR257207","IDC3",37.3119550663347,146.272254117467,315.851510178246,315.851510178246,146.272254117467,37.3119550663347,183.584209183802
"557","CR257207","IDC3NoFC",37.3119550663347,146.272254117467,315.851510178246,315.851510178246,146.272254117467,37.3119550663347,183.584209183802
"558","CR257207","IDC3ZD",37.3119550663347,146.272254117467,315.851510178246,315.851510178246,146.272254117467,37.3119550663347,183.584209183802
"559","CR257208","IDC3",96.7981285831728,72.4737485604984,315.851510178246,315.851510178246,72.4737485604984,96.7981285831728,169.271877143671
"560","CR257208","IDC3NoFC",96.7981122950475,72.4737485604984,315.851510178246,315.851510178246,72.4737485604984,96.7981122950475,169.271860855546
"561","CR257208","IDC3ZD",96.8001772675462,72.4737485604984,315.851510178246,315.851510178246,72.4737485604984,96.8001772675462,169.273925828045
"562","CR257209","IDC3",37.9933616420802,177.024880630203,315.851510178246,315.851510178246,177.024880630203,37.9933616420802,215.018242272283
"563","CR257209","IDC3NoFC",37.9933616420802,177.024880630203,315.851510178246,315.851510178246,177.024880630203,37.9933616420802,215.018242272283
"564","CR257209","IDC3ZD",38.0038361128958,177.024880630203,315.851510178246,315.851510178246,177.024880630203,38.0038361128958,215.028716743099
"565","CR257210","IDC3",43.5821250793487,98.7783141154304,315.851510178246,315.851510178246,98.7783141154304,43.5821250793487,142.360439194779
"566","CR257210","IDC3NoFC",43.5821250793487,98.7783141154304,315.851510178246,315.851510178246,98.7783141154304,43.5821250793487,142.360439194779
"567","CR257210","IDC3ZD",43.5821250793487,98.7783141154304,315.851510178246,315.851510178246,98.7783141154304,43.5821250793487,142.360439194779
"568","CR257213","IDC3",55.7571153297911,48.4579842977931,740.757352612708,740.757352612708,48.4579842977931,55.7571153297911,104.215099627584
"569","CR257213","IDC3NoFC",55.7571153297911,48.4579842977931,740.757352612708,740.757352612708,48.4579842977931,55.7571153297911,104.215099627584
"570","CR257213","IDC3ZD",50.5354693794255,48.4579842977931,740.757352612708,740.757352612708,48.4579842977931,50.5354693794255,98.9934536772186
"571","CR257214","IDC3",398.629521890596,58.2826600646843,740.757352612708,740.757352612708,58.2826600646843,398.629521890596,456.91218195528
"572","CR257214","IDC3NoFC",399.180262496243,58.2826600646843,740.757352612708,740.757352612708,58.2826600646843,399.180262496243,457.462922560927
"573","CR257214","IDC3ZD",398.629521890596,58.2826600646843,740.757352612708,740.757352612708,58.2826600646843,398.629521890596,456.91218195528
"574","CR257215","IDC3",843.419923425113,62.8461741874399,740.757352612708,740.757352612708,62.8461741874399,843.419923425113,906.266097612553
"575","CR257215","IDC3NoFC",843.419923425113,62.8461741874399,740.757352612708,740.757352612708,62.8461741874399,843.419923425113,906.266097612553
"576","CR257215","IDC3ZD",843.419923425113,62.8461741874399,740.757352612708,740.757352612708,62.8461741874399,843.419923425113,906.266097612553
"577","CR257225","IDC3",26.1574946978645,86.3984906968143,375.889400542706,375.889400542706,86.3984906968143,26.1574946978645,112.555985394679
"578","CR257225","IDC3NoFC",26.1574946978645,86.3984906968143,375.889400542706,375.889400542706,86.3984906968143,26.1574946978645,112.555985394679
"579","CR257225","IDC3ZD",26.1574946978645,86.3984906968143,375.889400542706,375.889400542706,86.3984906968143,26.1574946978645,112.555985394679
"580","CR258201","IDC3",442.651624974736,324.282127727672,263.209591815205,263.209591815205,324.282127727672,442.651624974736,766.933752702408
"581","CR258201","IDC3NoFC",441.697250641859,324.282127727672,263.209591815205,263.209591815205,324.282127727672,441.697250641859,765.979378369531
"582","CR258201","IDC3ZD",426.733543698209,324.282127727672,263.209591815205,263.209591815205,324.282127727672,426.733543698209,751.015671425881
"583","CR258202","IDC3",92.004173416693,435.246863641709,263.209591815205,263.209591815205,435.246863641709,92.004173416693,527.251037058402
"584","CR258202","IDC3NoFC",91.9871225619573,435.246863641709,263.209591815205,263.209591815205,435.246863641709,91.9871225619573,527.233986203666
"585","CR258202","IDC3ZD",91.7874260087421,435.246863641709,263.209591815205,263.209591815205,435.246863641709,91.7874260087421,527.034289650451
"586","CR258214","IDC3",165.077947309565,42.9772443245071,740.757352612708,740.757352612708,42.9772443245071,165.077947309565,208.055191634072
"587","CR258214","IDC3NoFC",165.077947309565,42.9772443245071,740.757352612708,740.757352612708,42.9772443245071,165.077947309565,208.055191634072
"588","CR258214","IDC3ZD",165.077947309565,42.9772443245071,740.757352612708,740.757352612708,42.9772443245071,165.077947309565,208.055191634072
"589","CR258215","IDC3",1106.15515461078,72.2908813285239,870.114353108115,870.114353108115,72.2908813285239,1106.15515461078,1178.4460359393
"590","CR258215","IDC3NoFC",1106.15515461078,72.2908813285239,870.114353108115,870.114353108115,72.2908813285239,1106.15515461078,1178.4460359393
"591","CR258215","IDC3ZD",1106.15515461078,72.2908813285239,870.114353108115,870.114353108115,72.2908813285239,1106.15515461078,1178.4460359393
"592","CR259201","IDC3",282.937747923359,479.779808164218,263.209591815205,263.209591815205,479.779808164218,282.937747923359,762.717556087577
"593","CR259201","IDC3NoFC",282.761950059701,479.779808164218,263.209591815205,263.209591815205,479.779808164218,282.761950059701,762.541758223919
"594","CR259201","IDC3ZD",281.153385472597,479.779808164218,263.209591815205,263.209591815205,479.779808164218,281.153385472597,760.933193636815
"595","CR259214","IDC3",124.404961742185,57.0060292547426,740.757352612708,740.757352612708,57.0060292547426,124.404961742185,181.410990996928
"596","CR259214","IDC3NoFC",124.404961742185,57.0060292547426,740.757352612708,740.757352612708,57.0060292547426,124.404961742185,181.410990996928
"597","CR259214","IDC3ZD",124.404961742185,57.0060292547426,740.757352612708,740.757352612708,57.0060292547426,124.404961742185,181.410990996928
