"","ID","Produ"
"449","CR255210",2.63195050940439
"450","CR255211",2.57030667468431
"451","CR255212",2.61095127539331
"452","CR255213",2.59974853143357
"453","CR255214",2.64313325166735
"454","CR255215",2.94439813403538
"455","CR255216",3.07862414738318
"456","CR255217",2.84585218308466
"457","CR255218",2.6547661036863
"458","CR255219",2.71059125782354
"459","CR255220",2.49550305725403
"460","CR255221",2.1648804487769
"461","CR255222",1.859
"462","CR255223",1.953
"463","CR255224",1.52882774566474
"464","CR255225",1.81095985130112
"465","CR255226",1.93
"466","CR255227",1.94142877492878
"467","CR255228",1.96533801507292
"468","CR255229",1.85158915470068
"469","CR255230",2.12479472286757
"470","CR255231",2.42546673840116
"471","CR255232",2.23543800541829
"472","CR255233",2.29356887419157
"473","CR255234",1.54464543457797
"474","CR255235",1.88666094170123
"475","CR255236",2.07706898396616
"476","CR255237",2.40782589386801
"477","CR255238",2.09994958184239
"478","CR255239",1.7370430221952
"479","CR255240",1.75382478419063
"480","CR255241",1.8271079790332
"481","CR255242",1.85708910359635
"482","CR255243",1.30229215017065
"483","CR255244",1.94892002442002
"484","CR255245",1.95791666666667
"485","CR255246",2.261
"486","CR256187",1.888
"487","CR256188",1.944
"488","CR256189",1.52
"489","CR256190",1.867
"490","CR256191",1.662
"491","CR256201",2.98706382978723
"492","CR256202",3.0845
"493","CR256203",3.085
"494","CR256204",3.2380138121547
"495","CR256205",3.19708143153527
"496","CR256206",3.18755592894863
"497","CR256207",3.29673694207028
"498","CR256208",3.353
"499","CR256209",3.30611467236467
"500","CR256210",3.23719206915993
"501","CR256211",3.13225958702065
"502","CR256212",2.86831950207469
"503","CR256213",2.61080172413793
"504","CR256214",2.93011492694683
"505","CR256215",3.13230824941189
"506","CR256216",3.23090428881544
"507","CR256217",3.1179714268671
"508","CR256218",2.80447706737802
"509","CR256219",2.743846884273
"510","CR256220",2.61909523809524
"511","CR256221",2.48531012658228
"512","CR256222",2.11382317682318
"513","CR256223",2.3479552238806
"514","CR256224",2.24469306930693
"515","CR256225",1.89505458515284
"516","CR256226",1.951
"517","CR256227",1.95929784717968
"518","CR256228",1.9341211441046
"519","CR256229",2.32519564232879
"520","CR256230",2.44674621227507
"521","CR256231",2.45549205886639
"522","CR256232",2.4417644070093
"523","CR256233",2.42646554422218
"524","CR256234",1.95679092068067
"525","CR256235",1.38537664783428
"526","CR256236",1.61992870652305
"527","CR256237",1.44861747360525
"528","CR256238",1.90689156873463
"529","CR256239",1.72500470957614
"530","CR256240",1.64234682080925
"531","CR256241",1.8376141313972
"532","CR256242",1.81459007832898
"533","CR256243",1.71877658680118
"534","CR256244",1.81857655349135
"535","CR256245",2.17020689655172
"536","CR257202",2.9465
"537","CR257207",3.35104161566707
"538","CR257208",3.2930113085622
"539","CR257209",3.33
"540","CR257210",3.317
"541","CR257211",3.315
"542","CR257212",3.2594387755102
"543","CR257213",3.15664672511604
"544","CR257214",2.97753808948005
"545","CR257215",3.20243207431186
"546","CR257216",3.14901850097776
"547","CR257217",3.24871720081332
"548","CR257218",3.146
"549","CR257219",2.85404508856683
"550","CR257220",2.61263157894737
"551","CR257221",2.61026785714286
"552","CR257222",2.57189682539683
"553","CR257223",2.7684347826087
"554","CR257224",2.93941369047619
"555","CR257225",2.38389445438283
"556","CR257226",1.79745429515418
"557","CR257227",1.94555253775926
"558","CR257228",1.94415848545536
"559","CR257229",1.61153550325158
"560","CR257230",2.33413415162937
"561","CR257231",2.42506263882719
"562","CR257232",2.42723333832111
"563","CR257233",2.41467137064071
"564","CR257234",2.38850633640553
"565","CR257235",2.07319111174216
"566","CR257236",1.82881100130524
"567","CR257237",1.24164762970605
"568","CR257238",1.8951685106383
"569","CR257239",1.80286589681505
"570","CR257240",1.69125431309904
"571","CR257241",1.66848739495798
"572","CR257242",1.51205706984668
"573","CR257243",1.81106440903054
"574","CR258201",3.16533333333333
"575","CR258202",2.88366972477064
"576","CR258206",3.271
"577","CR258207",3.255
"578","CR258208",3.255
"579","CR258209",3.451
"580","CR258210",3.441
"581","CR258211",3.39786153846154
"582","CR258212",3.32155617977528
"583","CR258213",2.75665060240964
"584","CR258214",3.31625619103774
"585","CR258215",3.28670906485649
"586","CR258216",2.80531482861992
"587","CR258217",3.507
"588","CR258220",3.005
"589","CR258221",2.51069285324604
"590","CR258222",2.92976086956522
"591","CR258223",2.82694630872483
"592","CR258224",3.05
"593","CR258225",2.63965105386417
"594","CR258226",2.02094895189263
"595","CR258227",1.89810137645138
"596","CR258228",1.91608093544333
"597","CR258229",1.89068597748209
"598","CR258230",1.87460040416933
"599","CR258231",2.25908088576885
"600","CR258232",2.35306963734568
"601","CR258233",2.43817988929889
"602","CR258234",2.2105
"603","CR258235",2.27496343756529
"604","CR258236",1.93508300562392
"605","CR258237",2.35342946946845
"606","CR258238",2.27571875943085
"607","CR258239",1.41403125
"608","CR258240",1.78040983606557
"609","CR258241",1.77761224489796
"610","CR259196",2.545
"611","CR259197",2.48157142857143
"612","CR259200",2.612
"613","CR259201",3.1321
"614","CR259202",3.24574509803922
"615","CR259203",3.282
"616","CR259204",3.1837997698504
"617","CR259205",3.10171362048894
"618","CR259206",3.17458474576271
"619","CR259207",3.20975
"620","CR259208",3.2376875
"621","CR259209",3.39321951219512
"622","CR259210",3.38069902912621
"623","CR259211",3.345
"624","CR259212",3.2522962962963
"625","CR259213",3.26725
"626","CR259214",3.11989750398301
"627","CR259215",3.64322677241048
"628","CR259216",3.35155925960175
"629","CR259217",3.36611822510942
"630","CR259218",3.35982228150406
"631","CR259219",3.475
"632","CR259220",3.35925977653631
"633","CR259221",3.16185756676558
"634","CR259222",2.98732083333333
"635","CR259223",2.86491473684211
"636","CR259224",2.72949856733524
"637","CR259225",2.76924170155502
"638","CR259226",2.241
"639","CR259227",1.85009706033821
"640","CR259228",1.6581966055212
"641","CR259229",1.68467667645067
"642","CR259230",1.88326513700776
"643","CR259231",1.97010432968179
"644","CR259232",2.35124585689218
"645","CR259233",2.36265649438202
"646","CR259234",2.25402672292546
"647","CR259235",2.30274806484592
"648","CR259236",1.9670268389662
"649","CR259237",2.37318745710364
"650","CR259238",2.37620978566789
"651","CR259240",1.28027272727273
"652","CR260196",2.37929333333333
"653","CR260197",2.2804347826087
"654","CR260200",2.58883333333333
"655","CR260201",3.261
"656","CR260202",2.933
"657","CR260203",2.932
"658","CR260204",2.909
"659","CR260205",3.228
"660","CR260206",3.263
"661","CR260208",3.197
"662","CR260209",3.473
"663","CR260211",3.38607692307692
"664","CR260212",3.0164691943128
"665","CR260213",3.42328925619835
"666","CR260214",3.45199835918854
"667","CR260215",3.56411461933187
"668","CR260216",3.56961677304377
"669","CR260217",3.587
"670","CR260218",3.49899488491049
"671","CR260219",3.25927197802198
"672","CR260220",3.49485423100679
"673","CR260221",3.49263396971692
"674","CR260222",2.9094024024024
"675","CR260223",2.92450459859704
"676","CR260224",2.83664885496183
"677","CR260225",2.83359074074074
"678","CR260226",2.43127152152465
"679","CR260227",1.99601215976055
"680","CR260228",1.6268029216121
"681","CR260229",1.89925529515986
"682","CR260230",1.89324199588947
"683","CR260231",2.11325053621825
"684","CR260232",2.36854998097516
"685","CR260233",2.33962413580247
"686","CR260234",2.27336036036036
"687","CR260235",2.33255241935484
"688","CR260236",2.19275487465181
"689","CR260237",2.32598328690808
"690","CR260238",2.36437061118335
"691","CR261196",1.841
"692","CR261197",1.96072857142857
"693","CR261198",2.37281818181818
"694","CR261202",3.285
"695","CR261203",3.25352631578947
"696","CR261204",3.23682957028405
"697","CR261205",3.23874862183021
"698","CR261207",2.75228571428571
"699","CR261208",3.3232962962963
"700","CR261209",3.515
"701","CR261211",3.44080612244898
"702","CR261212",3.42819017288444
"703","CR261213",3.4611650528169
