"","ID","Scenario","CRVl2_NPV","soyarea","Forarea","area_km2","soyperc","forperc"
"113","CR246209","IDC3NoFC",1187.45873706168,177210.555555556,17050,2985,59367.0202866183,1705000
"114","CR246209","IDC3ZD",1162.58039634198,167870,17050,2985,56237.8559463987,1705000
"115","CR246210","IDC3",413.633037261594,98794.1666666667,12220,2978,33174.6698007611,1222000
"116","CR246210","IDC3NoFC",413.694620189453,98821.1111111111,12220,2978,33183.7176330125,1222000
"117","CR246210","IDC3ZD",382.539359549912,85696.1111111111,12220,2978,28776.3972837848,1222000
"118","CR247203","IDC3",66.3455667576287,13448.8888888889,92473.6111111111,3020,4453.2744665195,9247361.11111111
"119","CR247203","IDC3NoFC",66.2283237132027,13448.8888888889,63913.6111111111,3020,4453.2744665195,6391361.11111111
"120","CR247203","IDC3ZD",66.3696539089976,13448.8888888889,98649.1666666667,3020,4453.2744665195,9864916.66666667
"121","CR247204","IDC3",103.619885458739,28433.0555555556,150506.666666667,3014,9433.66143183661,15050666.6666667
"122","CR247204","IDC3NoFC",93.1043070516257,22168.8888888889,68326.9444444444,3014,7355.30487355305,6832694.44444444
"123","CR247204","IDC3ZD",103.404117470982,28323.0555555556,151860,3014,9397.16508147165,15186000
"124","CR247205","IDC3",734.24671345125,86953.3333333333,133980,3009,28897.7511908718,13398000
"125","CR247205","IDC3NoFC",732.084418451064,86953.3333333333,40439.4444444444,3009,28897.7511908718,4043944.44444444
"126","CR247205","IDC3ZD",734.247777139211,86953.3333333333,133980,3009,28897.7511908718,13398000
"127","CR247206","IDC3",790.974680113002,71796.1111111111,37967.7777777778,3003,23908.1289081289,3796777.77777778
"128","CR247206","IDC3NoFC",793.363452408852,72122.5,14516.6666666667,3003,24016.8165168165,1451666.66666667
"129","CR247206","IDC3ZD",791.115377752294,71796.1111111111,43994.1666666667,3003,23908.1289081289,4399416.66666667
"130","CR247207","IDC3",847.78443133425,146572.5,65630,2997,48906.4064064064,6563000
"131","CR247207","IDC3NoFC",850.843009555351,148097.777777778,20411.9444444444,2997,49415.3412671931,2041194.44444444
"132","CR247207","IDC3ZD",847.906763205466,146672.5,65630,2997,48939.7731064398,6563000
"133","CR247208","IDC3",890.725364864687,130043.611111111,4920,2991,43478.3052862291,492000
"134","CR247208","IDC3NoFC",890.720657588485,130042.222222222,4920,2991,43477.840930198,492000
"135","CR247208","IDC3ZD",998.693924622968,167319.722222222,4920,2991,55941.0639325384,492000
"136","CR247209","IDC3",1371.73583496251,206730.555555556,20250,2985,69256.4675227992,2025000
"137","CR247209","IDC3NoFC",1268.73092417714,195934.444444444,20250,2985,65639.6798808859,2025000
"138","CR247209","IDC3ZD",1345.83973756674,197097.777777778,20250,2985,66029.4062907128,2025000
"139","CR247223","IDC3",62.0110433405965,28053.3333333333,19249.4444444444,2873,9764.47383687203,1924944.44444444
"140","CR247223","IDC3NoFC",61.4293266385762,27790.8333333333,19234.1666666667,2873,9673.10592876204,1923416.66666667
"141","CR247223","IDC3ZD",62.0141184163658,28048.6111111111,19555,2873,9762.83018138222,1955500
"142","CR247224","IDC3",212.654460750914,74261.9444444444,2330,2863,25938.5066169907,233000
"143","CR247224","IDC3NoFC",212.654460750914,74261.9444444444,2330,2863,25938.5066169907,233000
"144","CR247224","IDC3ZD",212.654460750914,74261.9444444444,2330,2863,25938.5066169907,233000
"145","CR248203","IDC3",51.7617750959654,8620.83333333333,178500,3020,2854.58057395143,17850000
"146","CR248203","IDC3NoFC",51.6644028297134,8620.83333333333,129873.333333333,3020,2854.58057395143,12987333.3333333
"147","CR248203","IDC3ZD",51.7618817369632,8620.83333333333,178500,3020,2854.58057395143,17850000
"148","CR248204","IDC3",55.6253227344667,10371.6666666667,148635,3014,3441.16345941163,14863500
"149","CR248204","IDC3NoFC",68.0383733280002,12811.1111111111,73647.2222222222,3014,4250.53454250535,7364722.22222222
"150","CR248204","IDC3ZD",55.6258319662729,10371.6666666667,148635,3014,3441.16345941163,14863500
"151","CR248205","IDC3",577.021431023915,104601.944444444,23443.6111111111,3009,34763.025737602,2344361.11111111
"152","CR248205","IDC3NoFC",574.991153836121,104601.944444444,18321.3888888889,3009,34763.025737602,1832138.88888889
"153","CR248205","IDC3ZD",544.833567062946,94980.2777777778,72742.5,3009,31565.3964033824,7274250
"154","CR248206","IDC3",2207.24623997571,278603.611111111,2290,3003,92775.0952750953,229000
"155","CR248206","IDC3NoFC",2205.94830652328,278603.611111111,2290,3003,92775.0952750953,229000
"156","CR248206","IDC3ZD",2205.44948369781,278186.944444444,2290,3003,92636.3451363451,229000
"157","CR248207","IDC3",1877.46308310604,256612.5,2460,2997,85623.1231231231,246000
"158","CR248207","IDC3NoFC",1875.53765683276,256612.5,2460,2997,85623.1231231231,246000
"159","CR248207","IDC3ZD",1876.66168625749,256241.666666667,2460,2997,85499.3882771661,246000
"160","CR248208","IDC3",984.20027367843,179390.277777778,2680,2991,59976.689327241,268000
"161","CR248208","IDC3NoFC",1010.3694410351,190710.277777778,2680,2991,63761.3767227609,268000
"162","CR248208","IDC3ZD",988.155721451787,181384.722222222,2680,2991,60643.5045878376,268000
"163","CR248209","IDC3",1395.1065101967,178906.666666667,6850,2985,59935.2317141262,685000
"164","CR248209","IDC3NoFC",1278.44362863798,168256.388888889,6850,2985,56367.2994602643,685000
"165","CR248209","IDC3ZD",1395.08604350933,178898.055555556,6850,2985,59932.3469197841,685000
"166","CR248210","IDC3",434.919230518104,44524.7222222222,8345.83333333333,2978,14951.2163271398,834583.333333333
"167","CR248210","IDC3NoFC",434.91921791121,44524.7222222222,8345.83333333333,2978,14951.2163271398,834583.333333333
"168","CR248210","IDC3ZD",433.509175606164,44060.8333333333,8345.83333333333,2978,14795.4443698231,834583.333333333
"169","CR248222","IDC3",242.23824211145,61869.1666666667,7290,2882,21467.4415914874,729000
"170","CR248222","IDC3NoFC",228.268949622509,58541.3888888889,7290,2882,20312.7650551315,729000
"171","CR248222","IDC3ZD",242.465639519521,61923.3333333333,7290,2882,21486.2364099005,729000
"172","CR248223","IDC3",307.330631978873,95122.7777777778,1150,2873,33109.216073017,115000
"173","CR248223","IDC3NoFC",307.330235856826,95122.7777777778,1150,2873,33109.216073017,115000
"174","CR248223","IDC3ZD",313.264584524669,99286.1111111111,1150,2873,34558.3401013265,115000
"175","CR249201","IDC3",250.417967708611,70340,18130,3029,23222.1855397821,1813000
"176","CR249201","IDC3NoFC",250.414335284191,70340,18130,3029,23222.1855397821,1813000
"177","CR249201","IDC3ZD",250.435058945115,70340,18130,3029,23222.1855397821,1813000
"178","CR249202","IDC3",31.2761543849625,4123.61111111111,24830,3025,1363.17722681359,2483000
"179","CR249202","IDC3NoFC",31.2680621692656,4123.61111111111,24830,3025,1363.17722681359,2483000
"180","CR249202","IDC3ZD",31.0148806125901,3928.61111111111,24830,3025,1298.71441689624,2483000
"181","CR249203","IDC3",192.865254200519,20784.1666666667,175650,3020,6882.17439293598,17565000
"182","CR249203","IDC3NoFC",201.292693839165,22405,62040.2777777778,3020,7418.87417218543,6204027.77777778
"183","CR249203","IDC3ZD",192.901560149975,20799.1666666667,175650,3020,6887.1412803532,17565000
"184","CR249204","IDC3",1439.16069575987,201600,24430,3014,66887.8566688786,2443000
"185","CR249204","IDC3NoFC",1438.88698128357,201600,24430,3014,66887.8566688786,2443000
"186","CR249204","IDC3ZD",1437.84768763406,201216.666666667,24430,3014,66760.6724176067,2443000
"187","CR249205","IDC3",2249.8726307566,285130.277777778,5530,3009,94759.1484804845,553000
"188","CR249205","IDC3NoFC",2251.34035150436,285563.888888889,5530,3009,94903.2532033529,553000
"189","CR249205","IDC3ZD",2251.05673572045,285130.277777778,5530,3009,94759.1484804845,553000
"190","CR249206","IDC3",2136.27384269293,268500.277777778,1560,3003,89410.6819106819,156000
"191","CR249206","IDC3NoFC",2136.27384269293,268500.277777778,1560,3003,89410.6819106819,156000
"192","CR249206","IDC3ZD",2136.27384269293,268500.277777778,1560,3003,89410.6819106819,156000
"193","CR249207","IDC3",1792.95283579775,243421.944444444,3990,2997,81221.8700181663,399000
