"","Year","ID","L","NL","NVloss","crfrac","DT_NL","DT_L","DT_luc"
"549","X2015","CR240202",1.015,1.6985,0.000270708921889943,0.000284585596510201,0.000459799103830069,0.000288854380457854,0.000748653484287923
"550","X2000","CR251216",1.015,1.603,0.166863026240967,0.0116270194705222,0.267481431064271,0.0118014247625801,0.279282855826851
"551","X2005","CR251216",1.015,1.603,0.213349218020019,0.0116270194705222,0.341998796486091,0.0118014247625801,0.353800221248671
"552","X2010","CR251216",1.015,1.603,0.214540199758144,0.0116270194705222,0.343907940212305,0.0118014247625801,0.355709364974885
"553","X2012","CR251216",1.015,1.603,0.215970838244636,0.0116270194705222,0.346201253706151,0.0118014247625801,0.358002678468731
"554","X2015","CR251216",1.015,1.603,0.219394684710493,0.0116270194705222,0.351689679590921,0.0118014247625801,0.363491104353501
"555","X2000","CR254216",1.015,1.603,0.137580969942431,0.0198645711194636,0.220542294817717,0.0201625396862555,0.240704834503972
"556","X2005","CR254216",1.015,1.603,0.178436172711514,0.0198645711194636,0.286033184856556,0.0201625396862555,0.306195724542812
"557","X2010","CR254216",1.015,1.603,0.171964518266329,0.0198645711194636,0.275659122780926,0.0201625396862555,0.295821662467182
"558","X2012","CR254216",1.015,1.603,0.174464025332332,0.0198645711194636,0.279665832607728,0.0201625396862555,0.299828372293984
"559","X2015","CR254216",1.015,1.603,0.176706809971171,0.0198645711194636,0.283261016383787,0.0201625396862555,0.303423556070043
"560","X2000","CR270216",1.015,1.603,0.0349188491318701,0.0123652467680339,0.0559749151583878,0.0125507254695544,0.0685256406279422
"561","X2005","CR270216",1.015,1.603,0.0904711622968563,0.0123652467680339,0.145025273161861,0.0125507254695544,0.157575998631415
"562","X2010","CR270216",1.015,1.603,0.0748404862253801,0.0123652467680339,0.119969299419284,0.0125507254695544,0.132520024888839
"563","X2012","CR270216",1.015,1.603,0.0533546409238496,0.0123652467680339,0.0855274894009308,0.0125507254695544,0.0980782148704852
"564","X2015","CR270216",1.015,1.603,0.0405975061796449,0.0123652467680339,0.0650778024059708,0.0125507254695544,0.0776285278755252
"565","X2000","CR241213",1.015,1.6985,0.196817698461268,0.00546224759164618,0.334294860836463,0.00554418130552087,0.339839042141984
