"","ID","Scenario","CRVl2_NPV","soyarea","Forarea","area_km2","soyperc","forperc"
"1173","CR268204","IDC3ZD",4831.71487785651,187.675,0.023921698739217,3014,62.2677504976775,2.3921698739217
"1174","CR268205","IDC3",3513.87539623536,182.196944444444,0.0319042871385842,3009,60.5506628263358,3.19042871385842
"1175","CR268205","IDC3NoFC",3513.87780079514,181.507777777778,0.0319042871385842,3009,60.3216277094642,3.19042871385842
"1176","CR268205","IDC3ZD",3511.50507864823,185.786666666667,0.0319042871385842,3009,61.7436579151435,3.19042871385842
"1177","CR268206","IDC3",3334.0213760096,145.387777777778,0.0192141192141192,3003,48.4141784141784,1.92141192141192
"1178","CR268206","IDC3NoFC",3334.0161882209,144.577777777778,0.0192141192141192,3003,48.1444481444481,1.92141192141192
"1179","CR268206","IDC3ZD",3334.02399503239,147.141388888889,0.0192141192141192,3003,48.9981314981315,1.92141192141192
"1180","CR268207","IDC3",3305.77890934379,107.516111111111,0.0271223604556937,2997,35.8745782819857,2.71223604556937
"1181","CR268207","IDC3NoFC",3229.90436775427,99.1911111111111,0.0271223604556937,2997,33.0968005042079,2.71223604556937
"1182","CR268207","IDC3ZD",3229.82322356304,125.503888888889,0.0253586920253586,2997,41.8765061357654,2.53586920253586
"1183","CR268208","IDC3",2609.64623005069,70.0230555555556,0.0259946506185222,2991,23.4112522753446,2.59946506185222
"1184","CR268208","IDC3NoFC",2609.58670448464,71.2180555555556,0.029695753928452,2991,23.8107842044652,2.9695753928452
"1185","CR268208","IDC3ZD",2609.5498695909,71.1558333333333,0.0233510053971438,2991,23.7899810542739,2.33510053971438
"1186","CR268209","IDC3",1018.9448107671,3.7,0.117219430485762,2985,1.23953098827471,11.7219430485762
"1187","CR268209","IDC3NoFC",1018.9448107671,3.7,0.117219430485762,2985,1.23953098827471,11.7219430485762
"1188","CR268209","IDC3ZD",1018.9448107671,3.7,0.117219430485762,2985,1.23953098827471,11.7219430485762
"1189","CR268210","IDC3",2887.90144666923,7.17416666666667,0.119895903290799,2978,2.40905529438102,11.9895903290799
"1190","CR268210","IDC3NoFC",2994.8120371495,7.17416666666667,0.100867472576673,2978,2.40905529438102,10.0867472576673
"1191","CR268210","IDC3ZD",2586.44430476541,7.17416666666667,0.144330646966644,2978,2.40905529438102,14.4330646966644
"1192","CR268211","IDC3",2997.294313682,26.485,0.0032764131897712,2972,8.91150740242261,0.32764131897712
"1193","CR268211","IDC3NoFC",3001.16313360588,26.4166666666667,0.0032764131897712,2972,8.88851502916106,0.32764131897712
"1194","CR268211","IDC3ZD",2997.36777184708,27.8966666666667,0.0032764131897712,2972,9.38649618663078,0.32764131897712
"1195","CR268212","IDC3",3621.16532107509,18.9205555555556,0.064118887015177,2965,6.38130035600525,6.4118887015177
"1196","CR268212","IDC3NoFC",3926.65668514578,18.9205555555556,0.0673650927487352,2965,6.38130035600525,6.73650927487352
"1197","CR268212","IDC3ZD",4804.14088153108,18.9205555555556,0.0831661045531197,2965,6.38130035600525,8.31661045531196
"1198","CR268213","IDC3",5077.66811839303,20.1541666666667,0.116063577950626,2957,6.81574794273475,11.6063577950626
"1199","CR268213","IDC3NoFC",4684.08350085654,18.8694444444444,0.153282767283444,2957,6.38127982564912,15.3282767283444
"1200","CR268213","IDC3ZD",3466.9745959561,20.1541666666667,0.204633074061549,2957,6.81574794273475,20.4633074061549
"1201","CR268219","IDC3",51.0959657398478,51.3858333333333,0.000962530079064971,2909,17.6644322218403,0.0962530079064971
"1202","CR268219","IDC3NoFC",51.0959657398478,56.3052777777778,0.000962530079064971,2909,19.3555440968641,0.0962530079064971
"1203","CR268219","IDC3ZD",46.845702520226,58.9538888888889,0.000962530079064971,2909,20.2660326190749,0.0962530079064971
"1204","CR269191","IDC3",3116.01805135994,1.14416666666667,0.365354812398042,3065,0.373300706905927,36.5354812398042
"1205","CR269191","IDC3NoFC",2954.6245938793,1.14416666666667,0.3682911908646,3065,0.373300706905927,36.82911908646
"1206","CR269191","IDC3ZD",2734.8423410314,1.14416666666667,0.37387030995106,3065,0.373300706905927,37.387030995106
"1207","CR269192","IDC3",1781.02778623917,5.18277777777778,0.0904637491835402,3062,1.69261194571449,9.04637491835402
"1208","CR269192","IDC3NoFC",1618.10704630817,5.18277777777778,0.0810499673416068,3062,1.69261194571449,8.10499673416068
"1209","CR269192","IDC3ZD",1389.75480721828,5.18277777777778,0.133809601567603,3062,1.69261194571449,13.3809601567603
"1210","CR269193","IDC3",428.282830106491,1.59583333333333,0.00617848970251716,3059,0.521684646398605,0.617848970251716
"1211","CR269193","IDC3NoFC",428.269997675851,1.59583333333333,0.00617848970251716,3059,0.521684646398605,0.617848970251716
"1212","CR269193","IDC3ZD",428.179774302599,1.59583333333333,0.00617848970251716,3059,0.521684646398605,0.617848970251716
"1213","CR269194","IDC3",2205.26093209749,126.048055555556,0.0128599476439791,3056,41.2460914776033,1.28599476439791
"1214","CR269194","IDC3NoFC",2205.24617152644,130.051944444444,0.0128599476439791,3056,42.5562645433391,1.28599476439791
"1215","CR269194","IDC3ZD",2205.26093209749,126.048055555556,0.0128599476439791,3056,41.2460914776033,1.28599476439791
"1216","CR269195","IDC3",1717.14372321203,188.265555555556,0.023419587291189,3053,61.6657568147906,2.3419587291189
"1217","CR269195","IDC3NoFC",1717.14372321203,188.661666666667,0.023419587291189,3053,61.7955016923245,2.3419587291189
"1218","CR269195","IDC3ZD",1717.14372321203,188.265555555556,0.023419587291189,3053,61.6657568147906,2.3419587291189
"1219","CR269196","IDC3",3867.73580451625,219.9375,0.033438524590164,3050,72.1106557377049,3.3438524590164
"1220","CR269196","IDC3NoFC",3867.73491922775,219.9375,0.033438524590164,3050,72.1106557377049,3.3438524590164
"1221","CR269196","IDC3ZD",3867.73580451625,219.9375,0.033438524590164,3050,72.1106557377049,3.3438524590164
"1222","CR269197","IDC3",4139.26684032419,229.341944444444,0.0268466841759685,3046,75.2928248340264,2.68466841759685
"1223","CR269197","IDC3NoFC",4136.70572212099,230.393888888889,0.0268466841759685,3046,75.6381775735026,2.68466841759685
"1224","CR269197","IDC3ZD",4139.05255782486,229.341944444444,0.0268466841759685,3046,75.2928248340264,2.68466841759685
"1225","CR269198","IDC3",6283.90220910723,114.203055555556,0.572304404996713,3042,37.5420958433779,57.2304404996713
"1226","CR269198","IDC3NoFC",6283.36848085572,114.203055555556,0.572382478632479,3042,37.5420958433779,57.2382478632479
