"","ID","Country","area_km2","Year","dEDD_total","dEDD_ghg","dEDD_luc","floss","soyarea","Forarea","Y0","dyt","dyl","dyg","CRVln","areasoyp","Scenario","CD_Bioma"
"18","CR235195","Brazil",2884,"X2020",36.3279037475586,27.6241550445557,7.4681077003479,-1.44,4.33,0.618446601941748,0.547607241988182,-0.166098107752497,-0.0366519776075223,-0.129006509039807,10.7941237659603,0.0150138696255201,"IDC3",1
"19","CR235195","Brazil",2884,"X2025",67.4813079833984,56.1340141296387,8.66855716705322,-1.44,4.64,0.618446601941748,0.576927234351635,-0.286381333550252,-0.0424169121170405,-0.24472251741226,13.1607575326527,0.0160887656033287,"IDC3",1
"20","CR235195","Brazil",2884,"X2030",70.0333099365234,56.0695648193359,10.6885280609131,-1.44,4.91,0.618446601941748,0.606247226715088,-0.295429266085916,-0.0520396858407214,-0.244479092628768,16.9670066053492,0.0170249653259362,"IDC3",1
"21","CR235195","Brazil",2884,"X2035",80.2417526245117,64.2527923583984,11.9128303527832,-1.44,5.14,0.618446601941748,0.636018295884132,-0.330489722608486,-0.0578249105414546,-0.274768207761134,19.7790476312664,0.0178224687933426,"IDC3",1
"22","CR235195","Brazil",2884,"X2040",95.3818588256836,79.1979141235352,11.5037107467651,-1.44,5.14,0.618446601941748,0.665789365053177,-0.37930117223174,-0.0558956264373293,-0.326986284981873,20.014072992881,0.0178224687933426,"IDC3",1
"23","CR235195","Brazil",2884,"X2045",99.7462921142578,83.3653717041016,11.5037107467651,-1.44,5.14,0.618446601941748,0.694207203805447,-0.392699444012151,-0.0558956264373293,-0.340864966320159,20.8683322059917,0.0178224687933426,"IDC3",1
"24","CR235195","Brazil",2884,"X2050",106.954223632812,90.2560348510742,11.5037107467651,-1.44,5.14,0.618446601941748,0.722625042557716,-0.414196645450957,-0.0558956264373293,-0.363187601258107,21.7225914191025,0.0178224687933426,"IDC3",1
"25","CR235197","Brazil",3046,"X2015",23.6494979858398,12.9360799789429,9.90329170227051,-12.59,0.44,0.41053841103086,0.50432384365797,-0.11152386349389,-0.0483105053847878,-0.0626330018995265,13.1030343654639,0.00144451739986868,"IDC3",1
"26","CR235197","Brazil",3046,"X2020",47.0443992614746,26.9315299987793,17.3688640594482,-20.3,1.2,0.385226526592252,0.538004522144794,-0.209604634701441,-0.0831801852401264,-0.12598492045713,24.0672576437096,0.00393959290873276,"IDC3",1
"27","CR235197","Brazil",3046,"X2025",73.8976745605469,56.0608901977539,13.6490163803101,-31.24,3.3,0.349310571240972,0.566810365587473,-0.308912180473452,-0.0659684687002438,-0.244446322628261,20.10920885897,0.0108338804990151,"IDC3",1
