"","ID","CRVl2_NPV","soyarea","Forarea","area_km2","soyperc","forperc"
"112","CR250205",690.309560914148,26066.9249267578,0.498952006331699,3009,8662.98601753334,49.8952006331699
"113","CR250206",676.47584716375,32742.3591308594,0.519395137360631,3003,10903.2164937927,51.9395137360631
"114","CR250207",1029.83877754711,112909.642089844,0.385968099182258,2997,37674.2215848661,38.5968099182258
"115","CR250208",709.756865686656,83418.9150390625,0.58331436328929,2991,27889.9749378343,58.331436328929
"116","CR250209",414.663255831045,44629.8586425781,0.76147673494498,2985,14951.3764296744,76.147673494498
"117","CR250210",375.233888108892,11700.2066040039,0.670709895107532,2978,3928.88065950433,67.0709895107532
"118","CR250211",476.462238810026,41911.6162109375,0.452676845533504,2972,14102.1588865873,45.2676845533504
"119","CR250212",418.873052479796,57298.7687988281,0.410324234349197,2965,19325.0484987616,41.0324234349197
"120","CR250213",493.991494054376,30023.5355224609,0.478965131765505,2957,10153.3769098617,47.8965131765505
"121","CR250220",188.37057296437,9246.34405517578,0.456485259277901,2901,3187.29543439358,45.6485259277901
"122","CR250221",211.37346541008,8102.09341430664,0.331544874414355,2892,2801.55373938681,33.1544874414355
"123","CR250222",127.294960278494,5721.96246337891,0.31465739569438,2882,1985.41376244931,31.465739569438
"124","CR250223",3.6240941387325,40577.1433105469,0.174343824418272,2873,14123.614100434,17.4343824418272
"125","CR250224",16.4198951514107,79370.8984375,0.199926080288081,2863,27722.9823393294,19.9926080288081
"126","CR250225",26.4399302961507,82853.3779296875,0.186707471856682,2854,29030.6159529389,18.6707471856682
"127","CR250226",47.0933561861451,78211.0229492188,0.166854779030998,2844,27500.3596867858,16.6854779030998
"128","CR250227",10.6454724195493,60821.4345703125,0.0887229052694835,2833,21468.9144265134,8.87229052694835
"129","CR250228",30.9605419311072,19510.7991333008,0.116441683012836,2588,7538.94866047171,11.6441683012836
"130","CR251184",133.991714986722,5446.88662719727,0.599092619101519,2990,1821.70121310945,59.9092619101519
"131","CR251185",56.8200543288288,3000.61283874511,0.347658260546299,2135,1405.43926873307,34.7658260546299
"132","CR251200",625.4609679553,2216.73402404785,0.486448129977983,3034,730.63085828868,48.6448129977983
"133","CR251201",571.312529722575,3104.87057495117,0.429566102658996,3029,1025.04806039986,42.9566102658996
"134","CR251202",598.593553497882,36769.4763183594,0.505601479539006,3025,12155.1987829287,50.5601479539006
"135","CR251203",344.142984847279,25022.9291992188,0.689077941735488,3020,8285.73814543667,68.9077941735488
"136","CR251204",322.129432431872,18945.0317382812,0.731090897144716,3014,6285.67741814242,73.1090897144716
"137","CR251205",209.328476486708,10375.9713134766,0.822382353348353,3009,3448.31216798822,82.2382353348353
"138","CR251206",220.224636244997,12152.3596801758,0.787740445119918,3003,4046.73982023836,78.7740445119918
"139","CR251207",321.469312591391,14605.7896728516,0.675160962167932,2997,4873.47002764483,67.5160962167932
"140","CR251208",379.724846028947,13437.1047363281,0.66277598443235,2991,4492.51244945775,66.277598443235
"141","CR251209",253.346468704447,10716.9983520508,0.768505804883249,2985,3590.28420504214,76.8505804883249
"142","CR251210",363.999545569114,25290.1802978516,0.595113325180158,2978,8492.33723903679,59.5113325180158
"143","CR251211",882.609777446734,93127.1567382812,0.301054085752803,2972,31334.8441245899,30.1054085752803
"144","CR251212",258.644746600326,40808.8796386719,0.511856924860917,2965,13763.5344481187,51.1856924860917
"145","CR251213",256.473168835691,57290.8471679688,0.34375751600314,2957,19374.6524071589,34.375751600314
"146","CR251214",189.408588977518,42885.7583007812,0.334757175021223,2950,14537.5451867055,33.4757175021223
"147","CR251215",239.7958074292,47134.0883789062,0.299112172338166,2942,16021.104139669,29.9112172338166
"148","CR251216",353.907321825109,19441.51171875,0.31519959755881,2934,6626.28211273006,31.519959755881
"149","CR251217",396.749053624732,17625.7181396484,0.347103758083503,2926,6023.82711539591,34.7103758083503
"150","CR251218",181.175187853316,14432.604675293,0.334011332186869,2918,4946.06054670767,33.4011332186869
"151","CR251219",44.092727373219,15582.8977050781,0.267206704270996,2909,5356.78848576079,26.7206704270996
"152","CR251220",103.245243876444,15368.7897338867,0.306752380420793,2901,5297.75585449387,30.6752380420793
"153","CR251221",56.716005996426,15448.9783325195,0.246564651421234,2892,5341.97037777301,24.6564651421234
"154","CR251222",47.4666596218781,16482.1516113281,0.229836145511496,2882,5718.99778325056,22.9836145511496
"155","CR251223",6.5082638566358,36907.9509277344,0.193420030961783,2873,12846.484833879,19.3420030961783
"156","CR251224",23.8296396950192,79412.794921875,0.178854448855049,2863,27737.6161096315,17.8854448855049
"157","CR251227",19.0690354752627,60983.9919433594,0.0952450059684356,2833,21526.2943675818,9.52450059684356
"158","CR252201",499.62123478859,2921.3666381836,0.587475163596147,3029,964.465710856255,58.7475163596147
"159","CR252202",192.127464956326,21388.6480712891,0.813607664901129,3025,7070.62746158316,81.3607664901129
"160","CR252203",451.974187054967,32799.6756591797,0.697605837842293,3020,10860.8197546953,69.7605837842293
"161","CR252204",136.757747915254,9980.53143310547,0.866817281296506,3014,3311.3906546468,86.6817281296506
"162","CR252205",110.339879300675,8145.85229492188,0.847942711176562,3009,2707.16261047586,84.7942711176562
"163","CR252206",57.0119747157153,3421.82371520996,0.878959917773924,3003,1139.46843663335,87.8959917773924
"164","CR252207",325.781218805178,7904.14080810547,0.622565012998364,2997,2637.35095365548,62.2565012998364
"165","CR252208",213.982800346732,6156.50860595703,0.725765205683932,2991,2058.34456902609,72.5765205683932
"166","CR252209",375.313751992942,12581.4635009766,0.433580977241368,2985,4214.89564521828,43.3580977241368
"167","CR252210",789.163220003829,78936.5024414062,0.384994353833547,2978,26506.5488386186,38.4994353833547
"168","CR252211",756.364083151387,116913.253417969,0.214154838004802,2972,39338.2413923179,21.4154838004802
"169","CR252212",429.15581798333,43155.9311523438,0.470698046281824,2965,14555.1201188343,47.0698046281824
"170","CR252213",239.265312760846,34185.8781738281,0.410025243938487,2957,11561.0003969659,41.0025243938487
"171","CR252214",48.2987698394939,54673.4243164062,0.385151911315088,2950,18533.364175053,38.5151911315088
"172","CR252215",549.887007529094,51724.6088867188,0.326150019544031,2942,17581.4442171036,32.6150019544031
"173","CR252216",485.972842644861,21804.447265625,0.362360809639568,2934,7431.64528480743,36.2360809639568
"174","CR252217",391.747826354619,16923.619140625,0.338585626302762,2926,5783.87530438312,33.8585626302762
"175","CR252218",502.685082789594,15166.5310058594,0.331071467587118,2918,5197.57745231644,33.1071467587118
"176","CR252219",52.7112830555185,12593.8830566406,0.403389636128655,2909,4329.28259080118,40.3389636128655
"177","CR252220",45.0804464699328,15980.8389892578,0.208742080191416,2901,5508.7345705818,20.8742080191416
"178","CR252221",115.197823907288,16627.9784545898,0.219652536590227,2892,5749.64676853038,21.9652536590227
