"","ID","Country","area_km2","Year","dEDD_luc","soyarea","Forarea","Y0","CD_Bioma","dyl","CRVln","areasoyp","Scenario"
"7228","CR263202","Brazil",3025,"X2030",0.767217695713043,23820,8120,3.5341847076416,3,-0.00382874009051615,21.34772771945,0.0787438016528926,"IDC3ZD"
"7229","CR263202","Brazil",3025,"X2035",0.767217695713043,37600,8120,3.70773842096329,3,-0.00382874009051615,35.352292890327,0.124297520661157,"IDC3ZD"
"7230","CR263202","Brazil",3025,"X2040",0.767217695713043,59400,8120,3.88129213428497,3,-0.00382874009051615,58.4633142406761,0.196363636363636,"IDC3ZD"
"7231","CR263202","Brazil",3025,"X2045",0.767217695713043,93850,8120,4.04695704245567,3,-0.00382874009051615,96.3126928938115,0.310247933884297,"IDC3ZD"
"7232","CR263202","Brazil",3025,"X2050",0.767217695713043,147490,8120,4.21262195062637,3,-0.00382874009051615,157.556279326764,0.487570247933884,"IDC3ZD"
"7233","CR263203","Brazil",3020,"X2020",0.311539083719254,3330,3390,3.21724715137482,3,-0.00155648284077836,2.64541672801629,0.0110264900662252,"IDC3ZD"
"7234","CR263203","Brazil",3020,"X2025",0.311539083719254,4950,3390,3.38950503015518,3,-0.00155648284077836,4.14292354361962,0.0163907284768212,"IDC3ZD"
"7235","CR263203","Brazil",3020,"X2030",0.311539083719254,7830,3390,3.56176290893555,3,-0.00155648284077836,6.88639937605167,0.0259271523178808,"IDC3ZD"
"7236","CR263203","Brazil",3020,"X2035",0.311539083719254,12360,3390,3.73667090892792,3,-0.00155648284077836,11.4043032907314,0.0409271523178808,"IDC3ZD"
"7237","CR263203","Brazil",3020,"X2040",0.311539083719254,19540,3390,3.91157890892029,3,-0.00155648284077836,18.873050068863,0.0647019867549669,"IDC3ZD"
"7238","CR263203","Brazil",3020,"X2045",0.311539083719254,30870,3390,4.07853654527664,3,-0.00155648284077836,31.0889764935005,0.102218543046358,"IDC3ZD"
